year,gender,final_rank,skater,nation,total_tss,sp_rank,fs_rank,tss_sp,tes_sp,pcs_sp,tss_fs,tes_fs,pcs_fs,tes_total,pcs_total,tech_dominance,medal
2026,M,1,SHAIDOROV Mikhail,KAZ,291.58,5,1,92.94,52.45,40.49,198.64,114.68,83.96,167.13,124.45,57.32%,1
2026,M,2,KAGIYAMA Yuma,JPN,280.06,2,6,103.07,56.5,46.57,176.99,92.15,85.84,148.65,132.41,52.89%,2
2026,M,3,SATO Shun,JPN,274.9,9,3,88.7,46.77,41.93,186.2,101.85,84.35,148.62,126.28,54.06%,3
2026,M,4,CHA Junhwan,KOR,273.92,6,5,92.72,50.08,42.64,181.2,95.16,87.04,145.24,129.68,52.83%,0
2026,M,5,GOGOLEV Stephen,CAN,273.78,10,2,87.41,48.23,39.18,186.37,103.22,83.15,151.45,122.33,55.32%,0
2026,M,6,GUMENNIK Petr,AIN,271.21,12,4,86.72,48.43,38.29,184.49,103.84,80.65,152.27,118.94,56.14%,0
2026,M,7,SIAO HIM FA Adam,FRA,269.27,3,12,102.55,57.27,45.28,166.72,84.97,82.75,142.24,128.03,52.63%,0
2026,M,8,MALININ Ilia,USA,264.49,1,15,108.16,62.35,45.81,156.33,76.61,81.72,138.96,127.53,52.14%,0
2026,M,9,GRASSL Daniel,ITA,263.71,4,8,93.46,52.73,40.73,170.25,88.79,81.46,141.52,122.19,53.67%,0
2026,M,10,EGADZE Nika,GEO,260.27,15,7,85.11,45.85,39.26,175.16,96.23,79.93,142.08,119.19,54.38%,0
2026,M,11,AYMOZ Kevin,FRA,259.94,7,11,92.64,48.55,44.09,167.3,81.45,85.85,130,129.94,50.01%,0
2026,M,12,TORGASHEV Andrew,USA,259.06,8,9,88.94,48.56,40.38,170.12,86.16,83.96,134.72,124.34,52.00%,0
2026,M,13,MIURA Kao,JPN,246.88,22,10,76.77,37.44,40.33,170.11,92.72,78.39,130.16,118.72,52.30%,0
2026,M,14,BRITSCHGI Lukas,SUI,246.64,19,13,80.87,40.61,40.26,165.77,85.01,80.76,125.62,121.02,50.93%,0
2026,M,15,RIZZO Matteo,ITA,243.18,16,14,84.3,42.49,41.81,158.88,76.32,82.56,118.81,124.37,48.86%,0
2026,M,16,SELEVKO Aleksandr,EST,236.82,18,16,82.02,41.33,41.69,154.8,77.05,77.75,118.38,119.44,49.78%,0
2026,M,17,JIN Boyang,CHN,229.08,13,20,86.55,47.79,38.76,142.53,70.87,72.66,118.66,111.42,51.57%,0
2026,M,18,VASILJEVS Deniss,LAT,226.46,17,18,82.44,42.34,40.1,144.02,67.07,76.95,109.41,117.05,48.31%,0
2026,M,19,MARSAK Kyrylo,UKR,224.17,11,23,86.89,49.2,37.69,137.28,64.92,73.36,114.12,111.05,50.68%,0
2026,M,20,NAUMOV Maxim,USA,223.36,14,22,85.65,47.77,37.88,137.71,64.66,75.05,112.43,112.93,49.89%,0
2026,M,21,SAMOILOV Vladimir,POL,222.25,21,17,77.57,40.88,36.69,144.68,72.65,73.03,113.53,109.72,50.85%,0
