year,gender,segment,rank_segment,skater,nation,tss,tes,pcs,ded
2006,M,SP,1,PLUSHENKO Evgeni,RUS,90.66,49.69,40.97,0
2006,M,SP,2,WEIR Johnny,USA,80,40.99,39.01,0
2006,M,SP,3,LAMBIEL Stephane,SUI,79.04,40.61,38.43,0
2006,M,SP,4,JOUBERT Brian,FRA,77.77,40.59,37.18,0
2006,M,SP,5,TAKAHASHI Daisuke,JPN,73.77,38.45,35.32,0
2006,M,SP,6,BUTTLE Jeffrey,CAN,73.29,37.01,37.28,1
2006,M,SP,7,SANDHU Emanuel,CAN,69.75,33,37.75,1
2006,M,SP,8,SAVOIE Matthew,USA,69.15,35.22,33.93,0
2006,M,SP,9,CHIPER Gheorghe,ROM,67.66,37.12,30.54,0
2006,M,SP,10,LYSACEK Evan,USA,67.55,33.8,34.75,1
2006,M,SP,11,ZHANG Min,CHN,67.39,36.29,31.1,0
2006,M,SP,12,SAWYER Shawn,CAN,67.2,35.02,32.18,0
2006,M,SP,13,VAN DER PERREN Kevin,BEL,65.36,33.5,32.86,1
2006,M,SP,14,DAVYDOV Sergei,BLR,64.65,35.58,29.07,0
2006,M,SP,15,DINEV Ivan,BUL,63.64,34.29,29.35,0
2006,M,SP,16,KOVALEVSKI Anton,UKR,63.41,33.95,29.46,0
2006,M,SP,17,PFEIFER Viktor,AUT,62.17,34.28,27.89,0
2006,M,SP,18,KLIMKIN Ilia,RUS,61.61,29.9,31.71,0
2006,M,SP,19,DAMBIER Frederic,FRA,61.17,30.48,31.69,1
2006,M,SP,20,LINDEMANN Stefan,GER,60.52,27.94,32.58,0
2006,M,SP,21,LI Chengjiang,CHN,60.23,30.55,30.68,1
2006,M,SP,22,VERNER Tomas,CZE,59.71,30.25,29.46,0
2006,M,SP,23,BERNTSSON Kristoffer,SWE,59.55,31.34,28.21,0
2006,M,SP,24,TOTH Zoltan,HUN,55.07,29.67,25.4,0
2006,M,SP,25,ZELENKA Karel,ITA,53.46,27.96,26.5,1
2006,M,SP,26,ZIVANOVIC Trifun,SCG,53.4,29.44,23.96,0
2006,M,SP,27,OTHMAN Jamal,SUI,52.18,24.46,27.72,0
2006,M,SP,28,MURVANIDZE Vakhtang,GEO,49.68,24.32,26.36,1
2006,M,SP,29,URBAS Gregor,SLO,46.48,20.28,26.2,0
2006,M,SP,30,HAN Jong In,PRK,42.11,19.5,22.62,0
2006,M,FS,1,PLUSHENKO Evgeni,RUS,167.67,85.25,82.42,0
2006,M,FS,2,BUTTLE Jeffrey,CAN,154.3,76.8,78.5,1
2006,M,FS,3,LYSACEK Evan,USA,152.58,78.24,74.34,0
2006,M,FS,4,LAMBIEL Stephane,SUI,152.17,76.89,76.28,1
2006,M,FS,5,SAVOIE Matthew,USA,137.52,65.8,71.72,0
2006,M,FS,6,WEIR Johnny,USA,136.63,61.27,75.36,0
2006,M,FS,7,JOUBERT Brian,FRA,135.12,62.54,73.58,1
2006,M,FS,8,VAN DER PERREN Kevin,BEL,132.03,66.01,66.02,0
2006,M,FS,9,TAKAHASHI Daisuke,JPN,131.12,58.82,73.3,1
2006,M,FS,10,KLIMKIN Ilia,RUS,130.19,65.97,65.22,1
2006,M,FS,11,ZHANG Min,CHN,128.88,65.16,63.72,0
2006,M,FS,12,SAWYER Shawn,CAN,123.63,55.13,68.5,0
2006,M,FS,13,LI Chengjiang,CHN,121.98,66.04,56.94,1
2006,M,FS,14,SANDHU Emanuel,CAN,120.49,52.27,70.22,2
2006,M,FS,15,VERNER Tomas,CZE,120.36,63.14,57.22,0
2006,M,FS,16,DAVYDOV Sergei,BLR,119.94,59,60.94,0
2006,M,FS,17,CHIPER Gheorghe,ROM,118.53,54.23,64.3,0
2006,M,FS,18,DINEV Ivan,BUL,116.47,57.97,58.5,0
2006,M,FS,19,DAMBIER Frederic,FRA,116.42,55.92,62.5,2
2006,M,FS,20,LINDEMANN Stefan,GER,112.05,51.05,62,0
2006,M,FS,21,KOVALEVSKI Anton,UKR,109.43,53.93,57.5,2
2006,M,FS,22,BERNTSSON Kristoffer,SWE,102.4,48.32,56.08,2
2006,M,FS,23,PFEIFER Viktor,AUT,101.7,45.26,57.44,1
2006,M,FS,24,TOTH Zoltan,HUN,90.4,42.2,50.2,2
2006,W,SP,1,COHEN Sasha,USA,66.73,35.33,31.4,0
2006,W,SP,2,SLUTSKAYA Irina,RUS,66.7,36.21,30.49,0
2006,W,SP,3,ARAKAWA Shizuka,JPN,66.02,35.93,30.09,0
2006,W,SP,4,SUGURI Fumie,JPN,61.75,32.61,29.14,0
2006,W,SP,5,MEISSNER Kimmie,USA,59.4,34.2,25.2,0
2006,W,SP,6,GEDEVANISHVILI Elene,GEO,57.9,33.25,24.65,0
2006,W,SP,7,HUGHES Emily,USA,57.08,31.71,25.37,0
2006,W,SP,8,ANDO Miki,JPN,56,29.12,26.88,0
2006,W,SP,9,ROCHETTE Joannie,CAN,55.85,28.87,26.98,0
2006,W,SP,10,MEIER Sarah,SUI,55.57,30.69,24.88,0
2006,W,SP,11,KOSTNER Carolina,ITA,53.77,26.25,28.52,1
2006,W,SP,12,POYKIO Susanna,FIN,53.74,28.43,25.31,0
2006,W,SP,13,LIASHENKO Elena,UKR,52.35,27.47,24.88,0
2006,W,SP,14,LEUNG Mira,CAN,50.61,29.38,21.23,0
2006,W,SP,15,LIU Yan,CHN,49.84,27.24,22.6,0
2006,W,SP,16,SEBESTYEN Julia,HUN,49.58,26.75,23.83,0
2006,W,SP,17,HEGEL Idora,CRO,47.06,26.74,20.32,0
2006,W,SP,18,SOKOLOVA Elena,RUS,46.69,21.13,25.56,0
2006,W,SP,19,PAVUK Viktoria,HUN,46.4,26.78,19.62,0
2006,W,SP,20,KORPI Kiira,FIN,44.84,23.84,21,0
2006,W,SP,21,MAXWELL Fleur,LUX,44.53,24.33,20.2,0
2006,W,SP,22,KARADEMIR Tugba,TUR,44.2,25.7,18.5,0
2006,W,SP,23,FONTANA Silvia,ITA,42.47,19.87,22.6,0
2006,W,SP,24,EFREMENKO Galina,UKR,41.25,20.43,21.82,1
2006,W,SP,25,CARTER Joanne,AUS,40.86,21.21,20.65,1
2006,W,SP,26,LUCA Roxana,ROM,39.37,21.49,17.88,0
2006,W,SP,27,KIM Yong Suk,PRK,39.16,19.37,19.79,0
2006,W,SP,28,GLEBOVA Elena,EST,38.47,21.06,18.41,1
2006,W,SP,29,GIMAZETDINOVA Anastasia,UZB,38.44,19.06,19.38,0
2006,W,FS,1,ARAKAWA Shizuka,JPN,125.32,62.32,63,0
2006,W,FS,2,COHEN Sasha,USA,116.63,55.22,62.41,1
2006,W,FS,3,SLUTSKAYA Irina,RUS,114.74,53.87,61.87,1
2006,W,FS,4,SUGURI Fumie,JPN,113.48,54.23,59.25,0
2006,W,FS,5,ROCHETTE Joannie,CAN,111.42,55.29,56.13,0
2006,W,FS,6,MEISSNER Kimmie,USA,106.31,52.77,53.54,0
2006,W,FS,7,HUGHES Emily,USA,103.79,53.82,50.97,1
2006,W,FS,8,MEIER Sarah,SUI,100.56,49.31,51.25,0
2006,W,FS,9,KOSTNER Carolina,ITA,99.73,43.84,55.89,0
2006,W,FS,10,SOKOLOVA Elena,RUS,95.66,45.38,50.28,0
2006,W,FS,11,LIU Yan,CHN,95.46,50.4,45.06,0
2006,W,FS,12,LEUNG Mira,CAN,94.55,51.83,42.72,0
2006,W,FS,13,GEDEVANISHVILI Elene,GEO,93.56,43.6,49.96,0
2006,W,FS,14,KORPI Kiira,FIN,92.36,48.84,43.52,0
2006,W,FS,15,POYKIO Susanna,FIN,89.48,40.54,49.94,1
2006,W,FS,16,ANDO Miki,JPN,84.2,35.69,50.51,2
2006,W,FS,17,EFREMENKO Galina,UKR,84.12,41.7,42.42,0
2006,W,FS,18,LIASHENKO Elena,UKR,81.73,36.01,45.72,0
2006,W,FS,19,HEGEL Idora,CRO,80.01,39.15,40.86,0
2006,W,FS,20,SEBESTYEN Julia,HUN,79.68,34.86,45.82,1
